company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
,,+,+,+,Cash Accumulator
